,model,trainingTime,testTime,score
0,SVM,699477.618982438,393475.25048165646,0.9409108485955893
1,GaussianNB,341.63547926722754,226.04127465851124,0.9229813149654098
2,KNN,49.5207172659808,1851621.6149689222,0.9324004369735917
3,RandomForest,154335.53914043866,12371.266244287293,0.9415801745471647
4,AdaBoostClassifier,43301.994390293796,5750.15060431224,0.928530687072691
