,model,trainingTime,testTime,score
0,SVM,660556.684864389,370956.64076109015,0.9453703274230622
1,GaussianNB,353.5922633169678,219.14047607113747,0.9219585877400777
2,KNN,57.61735708188318,1983478.4835539397,0.9383786605674539
3,RandomForest,196599.7853746298,12403.242619136927,0.9455331042614119
4,AdaBoostClassifier,67849.38901847824,6172.684094561816,0.9355188604381464
